Gaddiel Morales
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,25565


Experiment #:,0
Rule:,0112132424441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
8,1,,0.344,0.3076923076923077,1.472730695999906,1.3520301017579528,0.25907500000000006,
9,11,,0.31999999999999995,0.23076923076923073,1.4039904575514166,1.1451104143815827,0.24134999999999995,
10,4,,0.19999999999999996,0.15384615384615385,0.916118213778296,0.7732283485249176,0.0012450000000000516,
11,9,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0011600000000000499,
12,8,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,17
Rule:,0143132143122
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9883509395802514,2.199687794731328,0.999995,
1,5,,0.848,0.8461538461538461,2.2465274264416983,2.2577560641285177,0.84127,
2,6,,0.696,0.7692307692307692,2.065177844312764,2.2577560641285177,0.690125,
3,9,,0.616,0.6923076923076923,1.941676455713679,2.161978179679554,0.635915,
4,12,,0.608,0.6153846153846154,1.9112966970801337,2.038159681645953,0.631505,
5,4,,0.488,0.5384615384615384,1.8250259095596493,1.9877733714879842,0.43713,
6,3,,0.40800000000000003,0.46153846153846156,1.4867837646983002,1.6691803368667308,0.27354500000000004,
7,7,,0.264,0.3846153846153846,1.1602596578561397,1.5465935642949382,0.2672,
8,1,,0.24,0.3076923076923077,1.0726673952518118,1.3520301017579528,0.011349999999999971,
9,11,,0.21599999999999997,0.23076923076923073,0.9178642398143166,0.9912642605354287,0.021259999999999946,
10,8,,0.09599999999999997,0.15384615384615385,0.5521861025695264,0.7732283485249176,0.0010999999999999899,
11,2,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0010550000000000281,
12,10,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,18
Rule:,0144344121323
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.923176161863488,2.199687794731328,0.999995,
1,10,,0.944,0.8461538461538461,2.0388242511084265,2.2577560641285177,0.927995,
2,5,,0.8,0.7692307692307692,2.2597039167789132,2.2954656791802917,0.816945,
3,9,,0.72,0.6923076923076923,2.2430072679383812,2.2577560641285177,0.741305,
4,8,,0.6,0.6153846153846154,1.9840941369634673,2.133937566094917,0.58677,
5,3,,0.52,0.5384615384615384,1.9137571337709138,2.045841640885174,0.40686,
6,1,,0.496,0.46153846153846156,1.8739556650381832,1.8810947601100745,0.024190000000000045,
7,12,,0.488,0.3846153846153846,1.8576778750091192,1.7004397181410922,0.009164999999999979,
8,6,,0.33599999999999997,0.3076923076923077,1.5013447305150904,1.5058762556041068,0.00193500000000002,
9,7,,0.19199999999999995,0.23076923076923073,0.9550052350736914,1.1451104143815827,0.0013699999999999823,
10,2,,0.14400000000000002,0.15384615384615385,0.6882225728123753,0.7732283485249176,0.0011649999999999716,
11,4,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0010200000000000209,
12,11,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,19
Rule:,0112111221112
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,0.9980303741738465,1.2389012566026305,0.999995,
1,5,,0.848,0.8461538461538461,1.4450980029064433,1.419556298571613,0.845255,
2,10,,0.8,0.7692307692307692,1.5135981118650068,1.5262349099495225,0.846465,
3,6,,0.648,0.6923076923076923,1.5803462289152606,1.5766212201074912,0.7483500000000001,
4,4,,0.528,0.6153846153846154,1.482596870722805,1.5766212201074912,0.571475,
