,Unnamed: 0,iteration num,generation,avg fitness,best fitness,best genome,solved,num solutions,diversity,n,p_m,p_c,trn_size
92421,0,3186,27.0,0.939648547198643,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.543012147174351,75,0.01,0.5,5
122320,0,4217,27.0,0.9814405679124056,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.1981852929797634,100,0.01,0.0,4
91291,0,3147,28.0,0.9845451003288572,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.5912467440896472,75,0.01,0.5,3
101756,0,3508,24.0,0.8348182247550026,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,2.137675541105214,75,0.03,0.5,5
129476,0,4464,20.0,0.9582910382088664,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.6485306827440582,100,0.01,0.5,5
139141,0,4797,28.0,0.8565727619031631,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,2.0799040093690686,100,0.03,0.5,5
129651,0,4470,21.0,0.992735305754958,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.6290672568530349,100,0.01,0.5,5
129653,0,4470,23.0,0.9421979674598604,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.6434491232043271,100,0.01,0.5,5
129482,0,4464,26.0,0.9614327420892036,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.4556195057890908,100,0.01,0.5,5
129484,0,4464,28.0,0.9719205721403472,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.4866571193611038,100,0.01,0.5,5
62521,0,2155,26.0,0.9400791803528642,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,2.2349115660286527,50,0.03,0.3,5
92362,0,3184,26.0,0.9808235507509658,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.1774752334365202,75,0.01,0.5,5
59332,0,2045,27.0,0.8770417916314805,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,2.417232317825402,50,0.03,0.1,4
129654,0,4470,24.0,0.9707645157340984,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.7225971864753271,100,0.01,0.5,5
57883,0,1995,28.0,0.8908331808984051,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.9263921340217751,50,0.03,0.0,5
129652,0,4470,22.0,0.9834519413123536,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.5210937101712632,100,0.01,0.5,5
91286,0,3147,23.0,0.9464277317877036,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.5480869307174503,75,0.01,0.5,3
91288,0,3147,25.0,0.9302216468757354,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.6565070048092003,75,0.01,0.5,3
139139,0,4797,26.0,0.8883491381553913,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,2.086120294167787,100,0.03,0.5,5
97004,0,3344,28.0,0.9374795596895548,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,2.0247344724926397,75,0.03,0.1,5
92709,0,3196,25.0,0.9763849416878576,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.4076753322331288,75,0.01,0.5,5
138880,0,4788,28.0,0.861882853843952,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,2.0168458347200544,100,0.03,0.5,5
99411,0,3427,28.0,0.922675181291477,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,2.125446544184707,75,0.03,0.3,5
50922,0,1755,27.0,0.9751298001453228,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.5662099487757846,50,0.01,0.1,5
57881,0,1995,26.0,0.9187287613454962,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.923730034378558,50,0.03,0.0,5
129657,0,4470,27.0,0.9746276727930392,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.7121828149429097,100,0.01,0.5,5
57882,0,1995,27.0,0.9129288592004954,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,2.0164465467851405,50,0.03,0.0,5
